Filename,Predictions,Values
NO_crack/001-136.jpg,NO_crack,0.037993915
NO_crack/001-151.jpg,NO_crack,0.38646773
NO_crack/001-175.jpg,crack,0.75857353
NO_crack/001-176.jpg,crack,0.9343095
NO_crack/001-202.jpg,crack,1.0
NO_crack/001-39.jpg,NO_crack,0.07966447
NO_crack/001-47.jpg,crack,1.0
NO_crack/001-57.jpg,NO_crack,0.25660622
NO_crack/001-81.jpg,crack,1.0
NO_crack/001-89.jpg,NO_crack,0.12198218
NO_crack/001-90.jpg,crack,0.9406358
NO_crack/002-106.jpg,NO_crack,0.3465468
NO_crack/002-11.jpg,NO_crack,0.32938275
NO_crack/002-135.jpg,crack,0.99284345
NO_crack/002-140.jpg,crack,0.9991466
NO_crack/002-171.jpg,crack,0.9999989
NO_crack/002-206.jpg,crack,0.9648456
NO_crack/002-234.jpg,NO_crack,0.20472258
NO_crack/002-28.jpg,NO_crack,0.37355945
NO_crack/002-29.jpg,NO_crack,0.32936034
NO_crack/002-50.jpg,crack,0.9762673
NO_crack/002-63.jpg,NO_crack,0.29050282
NO_crack/003-105.jpg,NO_crack,0.40080366
NO_crack/003-108.jpg,crack,0.99968684
NO_crack/003-110.jpg,NO_crack,0.28012332
NO_crack/003-115.jpg,NO_crack,0.10967838
NO_crack/003-121.jpg,NO_crack,0.3574196
NO_crack/003-128.jpg,NO_crack,0.030744238
NO_crack/003-129.jpg,crack,1.0
NO_crack/003-141.jpg,NO_crack,0.007087014
NO_crack/003-19.jpg,crack,1.0
NO_crack/003-21.jpg,crack,1.0
NO_crack/003-219.jpg,NO_crack,0.304462
NO_crack/003-24.jpg,NO_crack,0.4614195
NO_crack/003-31.jpg,NO_crack,0.31756076
NO_crack/003-40.jpg,NO_crack,0.14752391
NO_crack/003-62.jpg,NO_crack,0.27066532
NO_crack/004-147.jpg,crack,1.0
NO_crack/004-161.jpg,crack,0.7519501
NO_crack/004-164.jpg,crack,0.9084145
NO_crack/004-178.jpg,NO_crack,0.37657517
NO_crack/004-197.jpg,crack,0.99620664
NO_crack/004-210.jpg,NO_crack,0.16115038
NO_crack/004-234.jpg,NO_crack,0.2298577
NO_crack/004-51.jpg,NO_crack,0.16309848
NO_crack/004-59.jpg,NO_crack,0.33485147
NO_crack/004-62.jpg,NO_crack,0.1220003
NO_crack/004-72.jpg,NO_crack,0.48697737
NO_crack/004-88.jpg,NO_crack,0.39278343
NO_crack/005-103.jpg,NO_crack,0.13201159
NO_crack/005-126.jpg,crack,1.0
NO_crack/005-128.jpg,crack,1.0
NO_crack/005-141.jpg,NO_crack,0.24449357
NO_crack/005-18.jpg,NO_crack,0.40283978
