,Folder,sub_Folder,File,label,FullPath
38365,W,CW,7074-98.jpg,1,W/CW/7074-98.jpg
39076,W,CW,7084-49.jpg,1,W/CW/7084-49.jpg
15835,P,CP,093-119.jpg,1,P/CP/093-119.jpg
15024,P,CP,062-95.jpg,1,P/CP/062-95.jpg
981,D,CD,7024-63.jpg,1,D/CD/7024-63.jpg
40735,W,CW,7115-124.jpg,1,W/CW/7115-124.jpg
41661,W,CW,7135-116.jpg,1,W/CW/7135-116.jpg
14317,P,CP,029-70.jpg,1,P/CP/029-70.jpg
41030,W,CW,7120-135.jpg,1,W/CW/7120-135.jpg
1268,D,CD,7029-62.jpg,1,D/CD/7029-62.jpg
14057,P,CP,019-181.jpg,1,P/CP/019-181.jpg
15374,P,CP,075-137.jpg,1,P/CP/075-137.jpg
268,D,CD,7007-55.jpg,1,D/CD/7007-55.jpg
654,D,CD,7017-64.jpg,1,D/CD/7017-64.jpg
14672,P,CP,046-36.jpg,1,P/CP/046-36.jpg
38284,W,CW,7073-246.jpg,1,W/CW/7073-246.jpg
39079,W,CW,7084-54.jpg,1,W/CW/7084-54.jpg
38681,W,CW,7079-171.jpg,1,W/CW/7079-171.jpg
14416,P,CP,034-100.jpg,1,P/CP/034-100.jpg
38336,W,CW,7074-231.jpg,1,W/CW/7074-231.jpg
589,D,CD,7015-79.jpg,1,D/CD/7015-79.jpg
495,D,CD,7012-187.jpg,1,D/CD/7012-187.jpg
14812,P,CP,052-83.jpg,1,P/CP/052-83.jpg
38783,W,CW,7081-243.jpg,1,W/CW/7081-243.jpg
38395,W,CW,7075-194.jpg,1,W/CW/7075-194.jpg
15981,P,CP,096-117.jpg,1,P/CP/096-117.jpg
40269,W,CW,7102-210.jpg,1,W/CW/7102-210.jpg
38944,W,CW,7083-34.jpg,1,W/CW/7083-34.jpg
15372,P,CP,075-118.jpg,1,P/CP/075-118.jpg
1808,D,CD,7048-69.jpg,1,D/CD/7048-69.jpg
15875,P,CP,094-113.jpg,1,P/CP/094-113.jpg
40839,W,CW,7116-173.jpg,1,W/CW/7116-173.jpg
38115,W,CW,7070-68.jpg,1,W/CW/7070-68.jpg
13623,P,CP,001-103.jpg,1,P/CP/001-103.jpg
38223,W,CW,7072-172.jpg,1,W/CW/7072-172.jpg
